book,episode,plant_index,fact,plant_in_act,payoff_in_act,bridging_language,plant_landed,plant_keyword_hits,payoff_class,payoff_overlap,payoff_common_tokens,best_matching_sentence,arc_plan_path,spoken_script_path
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,3,"The revolt depended on British naval power, gold, and outside support almost from the start.",2,3,"Because the revolt could not win as a conventional army, Lawrence's plan had to make a virtue of that weakness.",True,9/10,exact,1.0,9,"Because the revolt could not win as a conventional army, Lawrence's plan had to make a virtue of that weakness.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,4,Medina was not just a city but a fortified railway terminal linked to Damascus and repeatedly repaired by Ottoman forces.,2,3,And all of it kept running into the same fact: Medina was not a symbol. It was a system.,True,10/11,exact,0.571,4,And all of it kept running into the same fact.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,5,"Wilson entered the war as an associate power, not an ally, and opposed secret treaties and annexationist war aims.",4,6,Now the American language of open diplomacy collided with the private map the Allies had already drawn.,True,10/10,semantic,0.875,7,Now the American language of open diplomacy was colliding with the private map the Allies had already drawn.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,6,Palestine had earlier been dismissed in British discussion as strategically marginal and even lacking a decent harbor.,5,6,"The place once waved away as marginal had become, in Lloyd George's words, the one really interesting part of the war.",True,11/11,semantic,1.0,12,"Because the place once waved away as marginal was about to become, in Lloyd George's words, the one really interesting part of the war.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-2,7,British officials believed Jewish opinion—especially in Russia and America—might influence the wider war effort.,5,6,"That belief, shaky as it was, became one of the engines pushing the declaration over the line.",True,11/11,exact,1.0,7,"That belief, shaky as it was, became one of the engines pushing the declaration over the line.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-2/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,1,"Percy Cox's practical question: 'who, exactly, was the Arab leader of Baghdad supposed to be?'",1,5,"Remember the question first asked in Baghdad—who exactly is the Arab authority here? In Damascus, it stops being theoretical the moment Nuri installs a governor and Allenby has to overrule the fantasy.",True,8/10,semantic,0.421,8,"In Damascus, it stopped being theoretical the moment Nuri installed a governor and Allenby had to overrule the fantasy.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,2,Lawrence remembered not as a prophet but as 'the man with the gold.',2,7,"That old Bedouin memory matters now: the man with the gold becomes, in peacetime, the story with the numbers—because Britain's Arab case will depend on how large and authentic this revolt can be made to look.",True,4/5,semantic,0.778,14,"The man with the gold became, in peacetime, the story with the numbers, because Britain's Arab case would depend on how large and authentic this revolt could be made to look.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,3,"After Jerusalem, 'Questions about civil rule, Sykes-Picot, and the final disposition of Palestine would wait.'",2,5,"The questions that were allowed to wait after Jerusalem now burst back in Damascus, where military occupation can no longer hide behind wartime delay.",True,10/11,semantic,1.0,14,"The questions that had been allowed to wait after Jerusalem had burst back in Damascus, where military occupation could no longer hide behind wartime delay.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,4,Sykes's hope for a Jewish-Armenian-Arab political combine and the 'Door of Hope.',3,7,"What Sykes once imagined as a coalition of hopes is now being recast as an argument for British control: Arabs and Zionists, officials say, can only be reconciled if Britain—not France—holds the center.",True,7/8,semantic,0.471,8,What Sykes had imagined as a coalition of hopes was now being recast as an argument for British control.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,5,"The Declaration to the Seven, with its carefully limited language about independence.",4,6,Lawrence reaches for the Declaration to the Seven as if it were a clear title deed—but the language was always narrower than the claim now being made for Damascus.,True,5/7,weak,0.308,4,"Lawrence anchored Feisal's case in the Declaration to the Seven, but the language was being stretched past what it could bear.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,6,Feisal's strategic need for access beyond the interior—foreshadowed by Aqaba and later stated as 'a country without a port was no use to him.',2,5,"Aqaba had shown why the coast mattered. So when Allenby excludes Lebanon and the ports from Feisal's sphere, he is not trimming the edges. He is gutting the project.",True,10/12,semantic,0.5,7,"So when Allenby excluded Lebanon and the ports from Feisal's sphere, he was not trimming the edges.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-3,7,Early warnings that British officers in the field feared local reaction to Zionist policy and refused to publish Balfour in Jerusalem.,3,7,"The caution in Jerusalem was an early sign: policy announced in London could be slowed, softened, or redirected on the ground—and now the same pattern is shaping Syria itself.",True,12/14,semantic,0.438,7,"Policy announced in London could be slowed, softened, or redirected on the ground.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-3/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,1,"Churchill's warning that by late 1919 the army had ""melted away""",1,4,"Remember Churchill's warning that the army had ""melted away""—now the generals are saying it would take twenty-seven divisions to impose the peace on Turkey.",True,5/6,semantic,0.6,9,Now the generals were saying it would take twenty-seven divisions to impose the peace on Turkey.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,2,The Greek landing at Smyrna was framed as a temporary move to keep order and block Italy,2,4,That supposedly temporary landing at Smyrna did something far more permanent: it gave Turkish nationalism the enemy it needed.,True,10/10,exact,0.545,6,That supposedly temporary landing at Smyrna did something far more permanent.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,3,"Feisal's authority rested on British money, British officers, and Allenby's armies behind him",2,5,The man presented as Syria's voice had been standing on British scaffolding all along—and now the scaffolding is being removed.,True,9/9,semantic,0.875,7,The man presented as Syria's voice had been standing on British scaffolding all along.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,4,Wilson's rhetoric that peoples were not to be bartered like pieces on a board,2,5,"Those Wilsonian words were now being taken literally in Cairo, Damascus, Jerusalem, and Baghdad.",True,7/7,semantic,1.0,9,"Those Wilsonian words about peoples not being bartered like pieces on a board were now being taken literally in Cairo, and soon in Damascus, Jerusalem, and Baghdad as well.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,5,"British officials initially treated Egypt, Afghanistan, Arabia, Palestine, and Mesopotamia as separate emergencies",3,6,What had looked like separate fires now began to resemble one storm.,True,11/11,exact,1.0,7,What had looked like separate fires now began to resemble one storm.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,6,"Balfour's image of the peacemakers as ""all-powerful, all-ignorant men""",2,6,"The world the ""all-powerful, all-ignorant men"" designed is now answering back from Iraq to Persia.",True,3/5,semantic,0.75,6,"The world the 'all-powerful, all-ignorant men' designed was now answering back, from Egypt to Anatolia, from Jerusalem to Baghdad, from Enzeli to Tehran.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-4,7,Lloyd George kept waiting for America to assume mandates and help underwrite the settlement,2,6,"And the American partner Lloyd George kept waiting for never came—while Moscow, unexpectedly, did.",True,10/10,exact,1.0,10,"And the American partner Lloyd George kept waiting for never came, while Moscow, unexpectedly, did.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-4/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,1,"Major Bray's hunt for ""a small secret organization at the center of it all""",1,2,"Remember the hidden committee Bray wanted to find? In Turkestan and Bukhara, it never appears.",True,6/7,exact,0.6,6,Remember the hidden committee Bray wanted to find.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,2,"The Bolshevik promise that Muslims could organize their national life in ""complete freedom""",1,2,This was the freedom Moscow had promised.,True,8/8,exact,1.0,3,This was the freedom Moscow had promised.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,3,"Sir Henry Wilson's warning that Britain simply ""did not have the troops""",1,5,"The shortage Wilson warned about was no longer abstract. At Chanak, Britain could feel it in real time.",True,5/6,exact,0.545,6,The shortage Wilson warned about was no longer abstract.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,4,Churchill's rule that everything in the Middle East was secondary to reducing expense,3,4,This was Churchill's arithmetic in action—and also its trap.,True,8/8,exact,1.0,4,"This was Churchill's arithmetic in action, and also its trap.",.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,5,"The fiction that Feisal's throne should appear to come from Iraqis, not from Britain",3,6,The king had been presented as the people's choice. The argument over who really chose never ended.,True,7/7,exact,0.556,5,The argument over who really chose never ended.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east,episode-5,6,Churchill's insistence that Jews would buy land only from willing sellers and that economics could calm politics,4,6,Churchill kept answering a question about transactions. Many of his opponents were asking a question about possession.,True,8/9,exact,0.667,6,But Churchill kept answering a question about transactions.,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/a-peace-to-end-all-peace-the-fall-of-the-ottoman-empire-and-the-creation-of-the-modern-middle-east/episode-5/spoken_script.json
black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east,episode-1,1,"Musa Sadr's private warning that Khomeini's theory of clerical rule was ""the juice of a sick mind.""",2,5,"Remember Sadr's phrase from Lebanon—the one he did not say publicly. By the end of 1979, that ""sick mind"" had been written into the constitution.",True,11/11,exact,0.556,5,"Remember Sadr's phrase from Lebanon, the one he did not say publicly.",.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_script.json
black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east,episode-1,2,"The giant Al-Aqsa poster hanging in Husseini's home, with Jerusalem present in every intimate conversation.",2,5,That poster of Al-Aqsa on the wall was no decoration. Now Jerusalem was being turned into the revolution's public language.,True,10/11,semantic,0.556,5,Now Jerusalem was being turned into the revolution's public language.,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_script.json
black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east,episode-1,3,"The AKAI stereo and late-night cassette recordings of Musa Sadr and, in parallel, Khomeini's own taped sermons.",3,4,The cassette deck in the Beirut living room turns out to be more than a household detail. It is rehearsal for a revolution that will outrun television.,True,9/12,exact,0.667,8,The cassette deck in the Beirut living room turns out to be more than a household detail.,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_script.json
black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east,episode-1,4,The Paris lie of moderation: Khomeini's allies softening translations and assuring outsiders that even a woman could become president.,4,5,Those softened translations from under the apple tree now meet their hard text in Tehran.,True,10/12,semantic,0.556,5,Those softened translations from under the apple tree now seemed to promise a revolution broad enough for almost anyone to project hopes onto it.,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_delivery_arc_plan.json,.podcast_agent/runs/final/black-wave-saudi-arabia-iran-and-the-forty-year-rivalry-that-unraveled-culture-religion-and-collective-memory-in-the-middle-east/episode-1/spoken_script.json
